stock_code,name,industry
1332,日本水産,水産・農林業
1333,マルハニチロ,水産・農林業
1605,INPEX,鉱業
1721,コムシスホールディングス,建設業
1801,大成建設,建設業
1802,大林組,建設業
1803,清水建設,建設業
1808,長谷工コーポレーション,建設業
1812,鹿島建設,建設業
1925,大和ハウス工業,建設業
1928,積水ハウス,建設業
1963,日揮ホールディングス,建設業
2002,日清製粉グループ本社,食料品
2269,明治ホールディングス,食料品
2282,日本ハム,食料品
2501,サッポロホールディングス,食料品
2502,アサヒグループホールディングス,食料品
2503,キリンホールディングス,食料品
2531,宝ホールディングス,食料品
2801,キッコーマン,食料品
2802,味の素,食料品
2871,ニチレイ,食料品
2914,日本たばこ産業,食料品
3086,J.フロント リテイリング,小売業
3099,三越伊勢丹ホールディングス,小売業
3101,東洋紡,繊維製品
3103,ユニチカ,繊維製品
3401,帝人,繊維製品
3402,東レ,繊維製品
3861,王子ホールディングス,パルプ・紙
3863,日本製紙,パルプ・紙
4004,昭和電工,化学
4005,住友化学,化学
4021,日産化学,化学
4042,東ソー,化学
4043,トクヤマ,化学
4061,デンカ,化学
4063,信越化学工業,化学
4183,三井化学,化学
4188,三菱ケミカルグループ,化学
4208,UBE,化学
4272,日本化薬,化学
4452,花王,化学
4502,武田薬品工業,医薬品
4503,アステラス製薬,医薬品
4506,住友ファーマ,医薬品
4507,塩野義製薬,医薬品
4519,中外製薬,医薬品
4523,エーザイ,医薬品
4568,第一三共,医薬品
4578,大塚ホールディングス,医薬品
4901,富士フイルムホールディングス,化学
4911,資生堂,化学
5019,出光興産,石油・石炭製品
5101,横浜ゴム,ゴム製品
5108,ブリヂストン,ゴム製品
5201,AGC,ガラス・土石製品
5214,日本電気硝子,ガラス・土石製品
5232,住友大阪セメント,ガラス・土石製品
5233,太平洋セメント,ガラス・土石製品
5332,TOTO,ガラス・土石製品
5333,日本碍子,ガラス・土石製品
5401,日本製鉄,鉄鋼
5406,神戸製鋼所,鉄鋼
5411,ジェイ エフ イー ホールディングス,鉄鋼
5631,日本製鋼所,鉄鋼
5703,日本軽金属ホールディングス,非鉄金属
5706,三井金属鉱業,非鉄金属
5711,三菱マテリアル,非鉄金属
5713,住友金属鉱山,非鉄金属
5801,古河電気工業,非鉄金属
5802,住友電気工業,非鉄金属
5803,フジクラ,非鉄金属
6103,オークマ,機械
6113,アマダ,機械
6301,小松製作所,機械
6302,住友重機械工業,機械
6305,日立建機,機械
6326,クボタ,機械
6361,荏原製作所,機械
6367,ダイキン工業,機械
6471,日本精工,機械
6472,NTN,機械
6473,ジェイテクト,機械
6501,日立製作所,電気機器
6502,東芝,電気機器
6503,三菱電機,電気機器
6504,富士電機,電気機器
6506,安川電機,電気機器
6594,日本電産,電気機器
6645,オムロン,電気機器
6702,富士通,電気機器
6723,ルネサスエレクトロニクス,電気機器
6724,セイコーエプソン,電気機器
6752,パナソニック ホールディングス,電気機器
6758,ソニーグループ,電気機器
6762,TDK,電気機器
6841,横河電機,電気機器
6857,アドバンテスト,電気機器
6861,キーエンス,電気機器
6902,デンソー,輸送用機器
6952,カシオ計算機,電気機器
6954,ファナック,電気機器
6971,京セラ,電気機器
6976,太陽誘電,電気機器
6981,村田製作所,電気機器
7003,三井E&Sホールディングス,輸送用機器
7011,三菱重工業,輸送用機器
7012,川崎重工業,輸送用機器
7013,IHI,輸送用機器
7201,日産自動車,輸送用機器
7202,いすゞ自動車,輸送用機器
7203,トヨタ自動車,輸送用機器
7205,日野自動車,輸送用機器
7211,三菱自動車工業,輸送用機器
7261,マツダ,輸送用機器
7267,本田技研工業,輸送用機器
7269,スズキ,輸送用機器
7270,SUBARU,輸送用機器
7272,ヤマハ発動機,輸送用機器
7731,ニコン,精密機器
7733,オリンパス,精密機器
7735,SCREEN ホールディングス,精密機器
7751,キヤノン,電気機器
7752,リコー,電気機器
7832,バンダイナムコホールディングス,その他製品
7911,凸版印刷,その他製品
7912,大日本印刷,その他製品
7951,ヤマハ,その他製品
7974,任天堂,その他製品
8001,伊藤忠商事,卸売業
8002,丸紅,卸売業
8015,豊田通商,卸売業
8031,三井物産,卸売業
8035,東京エレクトロン,電気機器
8053,住友商事,卸売業
8058,三菱商事,卸売業
8233,高島屋,小売業
8252,丸井グループ,小売業
8267,イオン,小売業
8306,三菱UFJフィナンシャル・グループ,銀行業
8308,りそなホールディングス,銀行業
8309,三井住友トラスト・ホールディングス,銀行業
8316,三井住友フィナンシャルグループ,銀行業
8331,千葉銀行,銀行業
8354,ふくおかフィナンシャルグループ,銀行業
8411,みずほフィナンシャルグループ,銀行業
8591,オリックス,その他金融業
8601,大和証券グループ本社,証券、商品先物取引業
8604,野村ホールディングス,証券、商品先物取引業
8725,MS&ADインシュアランスグループホールディングス,保険業
8750,第一生命ホールディングス,保険業
8766,東京海上ホールディングス,保険業
8801,三井不動産,不動産業
8802,三菱地所,不動産業
8830,住友不動産,不動産業
9001,東武鉄道,陸運業
9005,東急,陸運業
9007,小田急電鉄,陸運業
9008,京王電鉄,陸運業
9009,京成電鉄,陸運業
9020,東日本旅客鉄道,陸運業
9021,西日本旅客鉄道,陸運業
9022,東海旅客鉄道,陸運業
9064,ヤマトホールディングス,陸運業
9101,日本郵船,海運業
9104,商船三井,海運業
9107,川崎汽船,海運業
9202,ANAホールディングス,空運業
9301,三菱倉庫,倉庫・運輸関連業
9432,日本電信電話,情報・通信業
9433,KDDI,情報・通信業
9434,ソフトバンク,情報・通信業
9613,エヌ・ティ・ティ・データ,情報・通信業
9735,セコム,サービス業
9766,コナミグループ,情報・通信業
9983,ファーストリテイリング,小売業
9984,ソフトバンクグループ,情報・通信業
